transaction_id,timestamp,amount,transaction_type,merchant_category,country,device_risk_score,ip_risk_score,is_fraud
TXN132411,2025-06-01 03:15:46,3.07,ATM_WITHDRAWAL,restaurant,US,0.0499,0.1809,0
TXN149028,2025-06-01 03:16:49,23.25,ONLINE,restaurant,GB,0.146,0.163,0
TXN101408,2025-06-01 03:18:55,42.95,ONLINE,grocery,DE,0.022,0.1088,0
TXN104689,2025-06-01 03:20:26,16.81,ONLINE,restaurant,US,0.0362,0.0996,0
TXN123544,2025-06-01 03:23:36,15.0,WIRE_TRANSFER,grocery,NG,0.0978,0.3783,0
TXN127824,2025-06-01 03:27:59,22.41,ONLINE,restaurant,US,0.103,0.2898,0
TXN109104,2025-06-01 03:31:21,140.98,POS,online_retail,US,0.0679,0.1248,0
TXN101481,2025-06-01 03:35:13,26.68,ATM_WITHDRAWAL,gambling,US,0.152,0.0676,0
TXN101948,2025-06-01 03:35:20,4.74,POS,grocery,US,0.1891,0.4349,0
TXN143465,2025-06-01 03:42:34,26.3,POS,utilities,US,0.0171,0.0636,0
TXN119423,2025-06-01 03:43:30,99.56,POS,online_retail,DE,0.3048,0.1866,0
TXN131826,2025-06-01 03:59:41,351.62,ATM_WITHDRAWAL,electronics,US,0.3147,0.1509,0
TXN117162,2025-06-01 04:02:58,122.31,POS,grocery,US,0.0698,0.1294,0
TXN110884,2025-06-01 04:04:52,20.79,WIRE_TRANSFER,jewelry,GB,0.2474,0.1412,1
TXN107752,2025-06-01 04:10:05,113.33,POS,electronics,BR,0.2135,0.5006,1
TXN138807,2025-06-01 04:10:20,203.69,WIRE_TRANSFER,electronics,CA,0.0919,0.4009,1
TXN147142,2025-06-01 04:16:48,33.53,WIRE_TRANSFER,jewelry,US,0.2241,0.0428,0
TXN139230,2025-06-01 04:17:44,30.48,ONLINE,travel,GB,0.1608,0.0821,0
TXN125299,2025-06-01 04:19:45,111.03,POS,fuel,IN,0.0644,0.3107,0
TXN121899,2025-06-01 04:20:35,55.99,POS,grocery,US,0.2515,0.1604,0
TXN140526,2025-06-01 04:34:28,135.92,POS,online_retail,IN,0.1985,0.2538,0
TXN120316,2025-06-01 04:37:05,64.7,POS,utilities,GB,0.028,0.177,0
TXN131856,2025-06-01 04:37:26,12.37,BILL_PAYMENT,jewelry,GB,0.2773,0.1738,0
TXN108836,2025-06-01 04:49:40,43.34,BILL_PAYMENT,grocery,US,0.0503,0.1975,0
TXN125039,2025-06-01 04:50:29,43.97,WIRE_TRANSFER,jewelry,GB,0.1204,0.0686,0
TXN116024,2025-06-01 04:52:42,50.76,POS,restaurant,RU,0.0055,0.0806,0
TXN120876,2025-06-01 04:52:42,94.91,ATM_WITHDRAWAL,grocery,GB,0.0207,0.0359,0
TXN128989,2025-06-01 04:53:29,46.43,POS,grocery,CA,0.4748,0.4445,0
TXN126120,2025-06-01 04:56:43,244.84,POS,grocery,GB,0.4142,0.1931,0
TXN101995,2025-06-01 04:59:13,61.84,ATM_WITHDRAWAL,grocery,AU,0.0294,0.0494,0
TXN147307,2025-06-01 05:02:25,29.88,ONLINE,cash_advance,GB,0.0107,0.1289,0
TXN135962,2025-06-01 05:04:07,289.72,ATM_WITHDRAWAL,travel,US,0.3848,0.0301,0
TXN145002,2025-06-01 05:06:20,32.2,ATM_WITHDRAWAL,online_retail,IN,0.2566,0.4231,0
TXN106739,2025-06-01 05:09:21,8.67,ONLINE,travel,GB,0.0194,0.1058,0
TXN116592,2025-06-01 05:12:05,79.25,POS,restaurant,GB,0.0629,0.2103,0
TXN112802,2025-06-01 05:12:31,34.89,POS,grocery,US,0.0059,0.1088,0
TXN112211,2025-06-01 05:12:44,23.73,POS,fuel,BR,0.1715,0.1065,0
TXN117912,2025-06-01 05:16:07,17.04,BILL_PAYMENT,electronics,DE,0.1474,0.2564,0
TXN128499,2025-06-01 05:19:00,21.23,ONLINE,online_retail,US,0.0696,0.199,0
TXN133930,2025-06-01 05:20:56,7.16,POS,travel,FR,0.1622,0.0316,0
TXN106982,2025-06-01 05:21:08,25.02,BILL_PAYMENT,grocery,CA,0.1949,0.239,0
TXN141225,2025-06-01 05:22:34,42.11,POS,electronics,CA,0.3047,0.1798,0
TXN138771,2025-06-01 05:23:18,16.34,ONLINE,restaurant,GB,0.0203,0.0627,0
TXN146146,2025-06-01 05:29:55,12.54,ATM_WITHDRAWAL,cash_advance,CA,0.0116,0.216,0
TXN115266,2025-06-01 05:34:11,55.21,POS,grocery,CA,0.1015,0.0773,0
TXN135098,2025-06-01 05:34:13,141.5,ONLINE,restaurant,IN,0.2683,0.1208,0
TXN124824,2025-06-01 05:38:49,114.32,POS,travel,US,0.0271,0.0624,0
TXN125576,2025-06-01 05:40:45,66.87,POS,utilities,DE,0.1076,0.0768,0
TXN105460,2025-06-01 05:50:51,13.35,ATM_WITHDRAWAL,grocery,US,0.143,0.0604,0
TXN120419,2025-06-01 05:58:47,37.89,ATM_WITHDRAWAL,travel,US,0.1989,0.0602,0
TXN135748,2025-06-01 06:01:41,92.96,ATM_WITHDRAWAL,utilities,GB,0.1184,0.2119,0
TXN133547,2025-06-01 06:02:03,5.96,ONLINE,utilities,US,0.0626,0.5689,0
TXN131168,2025-06-01 06:06:45,4.2,POS,restaurant,IN,0.0602,0.3914,0
TXN131528,2025-06-01 06:06:56,8.61,ONLINE,jewelry,US,0.0773,0.1455,0
TXN126788,2025-06-01 06:07:03,10.88,ATM_WITHDRAWAL,grocery,GB,0.1926,0.1009,0
TXN113954,2025-06-01 06:09:32,10.29,POS,electronics,US,0.1554,0.1232,0
TXN131124,2025-06-01 06:10:31,17.4,WIRE_TRANSFER,restaurant,US,0.1248,0.1686,0
TXN113242,2025-06-01 06:12:07,13.02,POS,grocery,US,0.1135,0.0405,0
TXN111489,2025-06-01 06:20:27,79.56,ONLINE,restaurant,US,0.1242,0.2174,0
TXN121428,2025-06-01 06:24:53,17.4,POS,grocery,GB,0.0657,0.1998,0
TXN140061,2025-06-01 06:25:53,7.36,BILL_PAYMENT,restaurant,GB,0.067,0.1832,0
TXN115685,2025-06-01 06:28:21,43.22,ATM_WITHDRAWAL,electronics,GB,0.1236,0.1237,0
TXN147106,2025-06-01 06:30:01,52.39,POS,restaurant,IN,0.2191,0.4572,0
TXN104625,2025-06-01 06:31:29,45.43,POS,gambling,GB,0.1702,0.0993,0
TXN120645,2025-06-01 06:32:17,76.97,POS,fuel,US,0.1561,0.0174,0
TXN129720,2025-06-01 06:33:59,40.09,ONLINE,restaurant,IN,0.0696,0.3665,0
TXN144883,2025-06-01 06:34:51,166.02,BILL_PAYMENT,restaurant,CA,0.1055,0.0294,0
TXN108628,2025-06-01 06:36:43,113.67,ATM_WITHDRAWAL,fuel,US,0.1039,0.1162,0
TXN132018,2025-06-01 06:38:51,56.46,ONLINE,fuel,DE,0.0859,0.0796,0
TXN101912,2025-06-01 06:38:53,30.86,ONLINE,gambling,IN,0.1432,0.4962,1
TXN138394,2025-06-01 06:39:10,16.43,ONLINE,utilities,CA,0.4066,0.358,0
TXN149581,2025-06-01 06:48:01,12.15,WIRE_TRANSFER,online_retail,US,0.2919,0.2624,0
TXN103189,2025-06-01 06:48:04,12.29,POS,gambling,US,0.0866,0.2099,0
TXN104109,2025-06-01 06:48:13,29.4,POS,travel,US,0.2764,0.0763,0
TXN114004,2025-06-01 06:48:52,60.09,ONLINE,utilities,US,0.036,0.0679,0
TXN134197,2025-06-01 06:49:17,53.48,POS,restaurant,GB,0.168,0.0395,0
TXN131165,2025-06-01 06:49:29,108.62,ONLINE,grocery,US,0.1774,0.1159,0
TXN117491,2025-06-01 06:52:59,75.58,ATM_WITHDRAWAL,online_retail,US,0.3142,0.3574,0
TXN135044,2025-06-01 06:53:25,311.55,POS,grocery,UA,0.0154,0.21,0
TXN110363,2025-06-01 06:55:43,34.49,ONLINE,fuel,US,0.0707,0.0753,0
TXN101738,2025-06-01 07:00:39,35.18,ONLINE,electronics,US,0.1255,0.2169,0
TXN148032,2025-06-01 07:08:25,86.24,POS,travel,IN,0.0753,0.0134,0
TXN149046,2025-06-01 07:09:32,7.26,ONLINE,grocery,US,0.2973,0.1834,0
TXN120477,2025-06-01 07:15:03,662.62,ATM_WITHDRAWAL,jewelry,DE,0.0432,0.4904,0
TXN123738,2025-06-01 07:15:45,29.15,ONLINE,online_retail,DE,0.0376,0.3071,0
TXN119804,2025-06-01 07:21:36,31.97,ATM_WITHDRAWAL,grocery,US,0.2339,0.2654,0
TXN144961,2025-06-01 07:27:40,99.94,POS,restaurant,US,0.0259,0.0787,0
TXN114926,2025-06-01 07:31:15,97.89,POS,grocery,DE,0.0229,0.0439,0
TXN113170,2025-06-01 07:32:56,202.68,POS,online_retail,GB,0.053,0.0573,0
TXN116785,2025-06-01 07:37:53,25.89,ONLINE,online_retail,IN,0.0452,0.0373,0
TXN128883,2025-06-01 07:38:06,37.92,BILL_PAYMENT,restaurant,US,0.422,0.3827,0
TXN139280,2025-06-01 07:39:41,39.3,POS,online_retail,US,0.0078,0.1501,0
TXN124208,2025-06-01 07:40:04,38.32,WIRE_TRANSFER,fuel,AU,0.1631,0.2156,0
TXN121432,2025-06-01 07:42:11,8.23,WIRE_TRANSFER,grocery,DE,0.3812,0.1075,0
TXN138132,2025-06-01 07:42:30,21.93,BILL_PAYMENT,fuel,IN,0.1902,0.1211,0
TXN147752,2025-06-01 07:46:36,67.95,POS,online_retail,US,0.1556,0.4419,0
TXN106412,2025-06-01 07:48:39,53.0,BILL_PAYMENT,fuel,US,0.1637,0.19,0
TXN107065,2025-06-01 07:50:50,1.53,WIRE_TRANSFER,grocery,GB,0.016,0.1865,0
TXN123006,2025-06-01 07:52:15,132.95,ONLINE,utilities,US,0.4329,0.0944,0
TXN134292,2025-06-01 07:52:36,49.85,ONLINE,grocery,DE,0.0174,0.398,0
TXN134515,2025-06-01 07:53:07,19.48,BILL_PAYMENT,utilities,UA,0.076,0.1845,0
TXN116981,2025-06-01 07:58:48,60.05,WIRE_TRANSFER,restaurant,BR,0.0496,0.0488,0
TXN134610,2025-06-01 08:01:06,11.48,ATM_WITHDRAWAL,restaurant,FR,0.2248,0.0521,0
TXN121386,2025-06-01 08:01:21,41.7,ONLINE,online_retail,DE,0.323,0.3011,0
TXN126551,2025-06-01 08:02:02,92.66,ATM_WITHDRAWAL,restaurant,BR,0.1694,0.4889,0
TXN110309,2025-06-01 08:02:49,43.39,ONLINE,fuel,US,0.038,0.2047,0
TXN130757,2025-06-01 08:04:50,61.02,WIRE_TRANSFER,online_retail,FR,0.0736,0.0322,0
TXN123210,2025-06-01 08:05:01,12.52,ONLINE,online_retail,IN,0.2064,0.1872,0
TXN115487,2025-06-01 08:05:26,169.44,ATM_WITHDRAWAL,cash_advance,IN,0.0755,0.0405,0
TXN140106,2025-06-01 08:13:53,9.68,WIRE_TRANSFER,grocery,GB,0.024,0.061,0
TXN145228,2025-06-01 08:19:21,37.37,ONLINE,online_retail,US,0.1987,0.0579,0
TXN115526,2025-06-01 08:20:45,72.28,ONLINE,travel,AU,0.0103,0.2231,0
TXN134996,2025-06-01 08:22:46,44.8,POS,jewelry,GB,0.2862,0.0498,0
TXN105168,2025-06-01 08:24:40,24.85,ONLINE,fuel,US,0.0765,0.2136,0
TXN130650,2025-06-01 08:27:22,57.08,ONLINE,electronics,GB,0.0391,0.1536,0
TXN131272,2025-06-01 08:28:31,54.2,POS,fuel,GB,0.3221,0.0868,0
TXN120853,2025-06-01 08:30:55,109.7,POS,utilities,US,0.3485,0.2096,0
TXN117424,2025-06-01 08:31:04,81.66,WIRE_TRANSFER,utilities,IN,0.3111,0.1168,0
TXN112314,2025-06-01 08:31:23,7.47,ONLINE,restaurant,GB,0.4689,0.031,0
TXN134296,2025-06-01 08:33:20,38.9,ATM_WITHDRAWAL,online_retail,BR,0.5319,0.0775,0
TXN127369,2025-06-01 08:36:15,75.74,BILL_PAYMENT,online_retail,US,0.2502,0.0424,0
TXN129865,2025-06-01 08:36:41,16.51,POS,grocery,GB,0.1186,0.0832,0
TXN140011,2025-06-01 08:38:04,21.65,POS,online_retail,BR,0.029,0.4376,0
TXN107210,2025-06-01 08:38:48,8.74,POS,utilities,US,0.1851,0.0637,0
TXN101621,2025-06-01 08:39:23,108.0,POS,cash_advance,US,0.1806,0.111,0
TXN139916,2025-06-01 08:40:34,21.96,POS,travel,US,0.1315,0.0826,0
TXN136692,2025-06-01 08:46:21,79.37,ATM_WITHDRAWAL,grocery,US,0.1118,0.1096,0
TXN149859,2025-06-01 08:47:05,41.16,BILL_PAYMENT,grocery,AU,0.0962,0.0708,0
TXN118085,2025-06-01 08:49:05,46.54,POS,restaurant,US,0.1055,0.2951,0
TXN147555,2025-06-01 08:50:53,70.71,ONLINE,restaurant,AU,0.1085,0.3197,0
TXN135819,2025-06-01 08:51:54,12.63,ONLINE,travel,FR,0.4005,0.2229,0
TXN145134,2025-06-01 08:57:40,113.24,ONLINE,gambling,US,0.0873,0.119,0
TXN122403,2025-06-01 08:58:17,14.73,ATM_WITHDRAWAL,restaurant,AU,0.1067,0.0788,0
TXN141036,2025-06-01 08:59:42,15.36,POS,grocery,US,0.1268,0.2475,0
TXN124781,2025-06-01 09:00:46,20.21,WIRE_TRANSFER,online_retail,BR,0.0803,0.0627,0
TXN107203,2025-06-01 09:04:35,20.73,ONLINE,electronics,US,0.3206,0.1588,0
TXN124504,2025-06-01 09:05:58,44.86,ONLINE,utilities,CA,0.0831,0.0803,0
TXN118678,2025-06-01 09:07:40,46.46,POS,grocery,UA,0.1273,0.0165,0
TXN129835,2025-06-01 09:13:13,4.12,POS,online_retail,IN,0.1119,0.1806,0
TXN110353,2025-06-01 09:15:03,10.18,ATM_WITHDRAWAL,grocery,US,0.1855,0.244,0
TXN128483,2025-06-01 09:17:18,87.98,ONLINE,fuel,CA,0.1422,0.2463,0
TXN103232,2025-06-01 09:18:01,33.02,ATM_WITHDRAWAL,grocery,US,0.1185,0.1468,0
TXN145944,2025-06-01 09:19:38,16.25,ONLINE,electronics,IN,0.2579,0.1939,0
TXN112965,2025-06-01 09:20:30,7.14,POS,grocery,US,0.044,0.0541,0
TXN135147,2025-06-01 09:20:55,20.78,POS,gambling,US,0.1747,0.4151,0
TXN134775,2025-06-01 09:21:10,48.06,ONLINE,utilities,US,0.0759,0.245,0
TXN106356,2025-06-01 09:25:31,14.67,POS,grocery,US,0.3346,0.1478,0
TXN100900,2025-06-01 09:27:32,34.5,POS,travel,US,0.2776,0.2962,0
TXN138492,2025-06-01 09:29:17,56.14,ONLINE,fuel,DE,0.0912,0.1878,0
TXN109544,2025-06-01 09:30:21,12.46,POS,grocery,BR,0.0483,0.0531,0
TXN111147,2025-06-01 09:33:48,247.71,BILL_PAYMENT,jewelry,GB,0.0346,0.2298,0
TXN125010,2025-06-01 09:36:16,56.39,ATM_WITHDRAWAL,grocery,US,0.2485,0.2788,0
TXN110453,2025-06-01 09:36:35,9.94,POS,cash_advance,US,0.1131,0.3346,0
TXN119895,2025-06-01 09:36:39,27.66,WIRE_TRANSFER,grocery,US,0.2157,0.2026,0
TXN106519,2025-06-01 09:36:41,45.73,ATM_WITHDRAWAL,fuel,US,0.1364,0.1457,0
TXN124156,2025-06-01 09:37:06,92.44,ATM_WITHDRAWAL,electronics,IN,0.0368,0.1245,0
TXN101293,2025-06-01 09:43:12,26.86,ATM_WITHDRAWAL,utilities,IN,0.0946,0.1388,0
TXN126058,2025-06-01 09:43:59,25.84,ATM_WITHDRAWAL,grocery,IN,0.384,0.0403,0
TXN142918,2025-06-01 09:48:30,106.62,ONLINE,fuel,NG,0.063,0.2137,0
TXN138427,2025-06-01 09:49:01,43.64,POS,restaurant,AU,0.0808,0.1262,0
TXN106055,2025-06-01 09:52:00,66.46,ONLINE,restaurant,DE,0.3365,0.0492,0
TXN102627,2025-06-01 09:58:35,87.24,ATM_WITHDRAWAL,grocery,DE,0.1988,0.2695,0
TXN126121,2025-06-01 10:02:07,16.91,BILL_PAYMENT,travel,US,0.2367,0.2558,0
TXN106227,2025-06-01 10:05:20,22.8,POS,online_retail,US,0.3479,0.0197,0
TXN101236,2025-06-01 10:10:44,56.81,POS,travel,IN,0.2128,0.2066,0
TXN102788,2025-06-01 10:13:44,27.61,ONLINE,fuel,US,0.1292,0.2869,0
TXN101549,2025-06-01 10:14:29,38.03,POS,utilities,IN,0.1095,0.1097,0
TXN115852,2025-06-01 10:15:48,11.82,ONLINE,utilities,GB,0.0114,0.2237,0
TXN146824,2025-06-01 10:25:14,43.7,ONLINE,electronics,US,0.1046,0.0972,0
TXN148409,2025-06-01 10:25:33,48.51,POS,travel,CA,0.1568,0.5324,0
TXN137452,2025-06-01 10:26:36,64.24,WIRE_TRANSFER,online_retail,IN,0.2306,0.2192,0
TXN104596,2025-06-01 10:29:30,220.18,POS,grocery,BR,0.1085,0.0203,0
TXN131582,2025-06-01 10:32:53,101.17,BILL_PAYMENT,jewelry,IN,0.4262,0.1312,0
TXN100772,2025-06-01 10:33:49,12.87,BILL_PAYMENT,grocery,GB,0.0706,0.0853,0
TXN141802,2025-06-01 10:41:36,8.8,ONLINE,utilities,US,0.1445,0.1891,0
TXN119462,2025-06-01 10:41:53,18.22,POS,grocery,US,0.2561,0.3117,0
TXN122625,2025-06-01 10:42:55,47.08,POS,gambling,DE,0.2414,0.0501,0
TXN123619,2025-06-01 10:44:42,23.54,ATM_WITHDRAWAL,online_retail,US,0.1733,0.1658,0
TXN139565,2025-06-01 10:44:50,192.7,POS,grocery,NG,0.1542,0.058,0
TXN142602,2025-06-01 10:45:50,55.19,ONLINE,grocery,GB,0.0168,0.0308,0
TXN106074,2025-06-01 10:46:03,13.44,ONLINE,travel,US,0.16,0.2618,0
TXN105295,2025-06-01 10:47:13,89.63,POS,restaurant,GB,0.1738,0.0891,0
TXN122245,2025-06-01 10:47:52,47.94,ONLINE,travel,IN,0.0082,0.0459,0
TXN137160,2025-06-01 10:52:15,53.06,POS,restaurant,GB,0.1715,0.0376,0
TXN139376,2025-06-01 10:56:03,35.76,POS,online_retail,AU,0.0986,0.028,0
TXN143818,2025-06-01 10:56:24,238.15,ONLINE,travel,US,0.1733,0.2675,0
TXN107733,2025-06-01 11:00:15,6.98,ONLINE,travel,DE,0.2471,0.039,0
TXN115491,2025-06-01 11:00:51,101.82,ATM_WITHDRAWAL,online_retail,US,0.1596,0.1395,0
TXN141824,2025-06-01 11:02:34,9.29,BILL_PAYMENT,fuel,DE,0.0049,0.0404,0
TXN145967,2025-06-01 11:05:29,4.5,BILL_PAYMENT,fuel,US,0.4836,0.2779,0
TXN113973,2025-06-01 11:11:33,83.87,BILL_PAYMENT,grocery,DE,0.0699,0.4078,0
TXN109379,2025-06-01 11:15:34,52.07,ONLINE,restaurant,GB,0.1656,0.0235,0
TXN117260,2025-06-01 11:16:02,12.88,ONLINE,utilities,AU,0.073,0.0422,0
TXN123340,2025-06-01 11:21:42,25.23,ONLINE,restaurant,US,0.1704,0.2228,0
TXN145220,2025-06-01 11:24:09,13.66,BILL_PAYMENT,grocery,US,0.3278,0.0172,0
TXN130698,2025-06-01 11:26:20,4.84,POS,fuel,DE,0.3208,0.0986,0
TXN122910,2025-06-01 11:26:30,40.55,POS,travel,GB,0.1454,0.1182,0
TXN100380,2025-06-01 11:27:47,13.75,ONLINE,utilities,GB,0.0317,0.0763,0
TXN118441,2025-06-01 11:29:12,77.27,ONLINE,restaurant,US,0.0747,0.0877,0
TXN119629,2025-06-01 11:29:51,44.69,ONLINE,online_retail,US,0.2009,0.0507,0
TXN103215,2025-06-01 11:32:46,35.43,POS,grocery,GB,0.3685,0.066,0
TXN137724,2025-06-01 11:36:58,42.81,ATM_WITHDRAWAL,online_retail,US,0.2582,0.1522,0
TXN112252,2025-06-01 11:42:24,50.25,POS,fuel,NG,0.2584,0.2321,0
